
			NGC 7790 - Phelps & Janes 1994

star     x       y      V      B-V    U-B    dV   dBV   dUB   dP   nV nB nU
  275  270.89  177.83 19.302  1.265 99.999  0.00  0.00  0.00 0.13  1  1  0
  276  254.51  178.07 18.600  1.446 99.999  0.00  0.00  0.00 0.12  1  1  0
  277  633.84  178.45 15.112  0.793  0.251  0.00  0.00  0.00 0.04  1  1  1
  278  925.50  179.00 16.891  1.472  1.011  0.00  0.00  0.00 0.16  1  1  1
  279  204.43  179.12 18.717  1.259 99.999  0.00  0.00  0.00 0.22  1  1  0
  280   22.43  180.01 17.280  0.972  0.577  0.00  0.00  0.00 0.35  1  1  1
  281  340.31  180.10 20.343  0.912 99.999  0.00  0.00  0.00 0.38  1  1  0
  282  430.74  180.84 19.594  1.502 99.999  0.00  0.00  0.00 0.11  1  1  0
  283  848.69  181.16 16.870  1.048  0.509  0.00  0.00  0.00 0.10  1  1  1
  284  747.95  182.36 19.357  1.152 99.999  0.00  0.00  0.00 0.34  1  1  0
  285   79.54  183.16 18.929  1.499 99.999  0.00  0.00  0.00 0.33  1  1  0
  286  264.06  184.54 18.303  1.096 99.999  0.00  0.00  0.00 0.13  1  1  0
  287  953.15  184.96 19.399  1.022 99.999  0.00  0.00  0.00 0.14  1  1  0
  288  219.63  185.23 17.601  0.919  0.540  0.00  0.00  0.00 0.13  1  1  1
  289  519.25  185.38 19.749  1.285 99.999  0.00  0.00  0.00 0.24  1  1  0
  290  702.22  186.75 16.349  0.676  0.505  0.00  0.00  0.00 0.07  1  1  1
  291  661.90  186.82 18.286  1.656 99.999  0.00  0.00  0.00 0.20  1  1  0
  292   86.43  188.28 19.113  1.069 99.999  0.00  0.00  0.00 0.21  1  1  0
  293  423.03  188.41 18.904  1.328 99.999  0.00  0.00  0.00 0.08  1  1  0
  294  911.44  189.08 19.882  1.479 99.999  0.00  0.00  0.00 0.37  1  1  0
  295  951.01  191.07 19.277  1.098 99.999  0.00  0.00  0.00 0.13  1  1  0
  296  465.53  191.66 19.570  1.046 99.999  0.07  0.09  0.00 0.20  1  2  0
  297  128.75  192.38 17.023  0.788  0.465  0.00  0.00  0.00 0.17  1  1  1
  298  469.11  192.82 19.398  1.062 99.999  0.06  0.09  0.00 0.18  2  2  0
  299  103.44  192.86 18.473  1.246 99.999  0.00  0.00  0.00 0.07  1  1  0
  300  727.15  193.22 15.716  0.832  0.493  0.00  0.00  0.00 0.03  1  1  1
  301  642.12  193.81 17.514  0.977  0.286  0.00  0.00  0.00 0.41  1  1  1
